"Year","Q1","Q2","Q3","Q4"
"2024","9.43","8.56","0.0","0.0"
"2023","8.7","8.72","9.17","9.37"
"2022","8.1","7.6","8.2","8.4"
"2021","6.7","6.7","7.5","8.1"
"2020","7.1","6.0","4.2","6.2"
"2019","6.6","6.31","6.82","6.75"
"2018","6.07","6.03","6.31","6.3"
"2017","5.73","5.29","5.66","5.7"
"2016","5.37","4.99","5.24","5.71"
"2015","4.8","4.56","4.88","4.91"
"2014","4.24","3.87","4.15","4.18"
"2013","3.79","3.56","3.74","3.8"
"2012","3.44","3.2","3.3","3.36"
"2011","2.95","2.79","2.93","3.03"
"2010","2.72","2.53","2.61","2.84"
"2009","2.62","2.33","2.4","2.42"
